Date,Transaction Type,Status,Amount,Token,USD Value,From,To,Transaction Hash,Instruction Index
"Sat, 16 Mar 2024 22:43:30 GMT",MintV1,Successful,1,,,7zaQPy9TcE3F895MUqv84Qof3tcaoZp1VLUjXviDK63Q,DvzpaRbSaQ9CMTxfjrvEkduzpZiVXPweH2pRhQw4eZL7,5sPfNdFrn2on98C7UkUTPpJnd73wAwpBLk6Pma1pwpy5rjat2LZtW58fW7HjDNJeETJsFmWbUaVTeejSzfUxaM4B,3:-1
"Sat, 16 Mar 2024 22:43:30 GMT",MintV1,Successful,1,,,7zaQPy9TcE3F895MUqv84Qof3tcaoZp1VLUjXviDK63Q,5ftr3GPkJ2XqFLjJ6YqkUbizi9ztSN4EZ2wxy7jdycYo,5sPfNdFrn2on98C7UkUTPpJnd73wAwpBLk6Pma1pwpy5rjat2LZtW58fW7HjDNJeETJsFmWbUaVTeejSzfUxaM4B,4:-1
"Sat, 16 Mar 2024 22:36:17 GMT",pay_tx_fees,Successful,305000,,,9sanPaycTAq3HeiqUYGebsa3UVhawhAWHNwRzPdcfRn8,,5D4q7HVZoLmGewzpFiKmVUxrVqa5jzhi6p1ghByqmm3fAZqT3pBQ6LYZJKNUoeEsharr6CyEn5h91Hk12nYfcrvh,-1:-1
"Sat, 16 Mar 2024 22:36:17 GMT",transferChecked_WEN,Successful,601012.15497,WEN,155.18171570570715,9sanPaycTAq3HeiqUYGebsa3UVhawhAWHNwRzPdcfRn8,7iWnBRRhBCiNXXPhqiGzvvBkKrvFSWqqmxRyu9VyYBxE,5D4q7HVZoLmGewzpFiKmVUxrVqa5jzhi6p1ghByqmm3fAZqT3pBQ6LYZJKNUoeEsharr6CyEn5h91Hk12nYfcrvh,2:0
"Sat, 16 Mar 2024 22:36:17 GMT",transfer_WEN,Successful,601012.15497,WEN,155.18171570570715,7iWnBRRhBCiNXXPhqiGzvvBkKrvFSWqqmxRyu9VyYBxE,7BZzoP3QB2zK3R7WqRzjS5fpeeErgdy3HGzxXrN97aEY,5D4q7HVZoLmGewzpFiKmVUxrVqa5jzhi6p1ghByqmm3fAZqT3pBQ6LYZJKNUoeEsharr6CyEn5h91Hk12nYfcrvh,2:2
"Sat, 16 Mar 2024 22:36:17 GMT",transfer_SOL,Successful,0.841210707,SOL,154.2096298047079,7BZzoP3QB2zK3R7WqRzjS5fpeeErgdy3HGzxXrN97aEY,7iWnBRRhBCiNXXPhqiGzvvBkKrvFSWqqmxRyu9VyYBxE,5D4q7HVZoLmGewzpFiKmVUxrVqa5jzhi6p1ghByqmm3fAZqT3pBQ6LYZJKNUoeEsharr6CyEn5h91Hk12nYfcrvh,2:3
"Sat, 16 Mar 2024 22:36:17 GMT",transfer_SOL,Successful,0.841210707,SOL,154.2096298047079,7iWnBRRhBCiNXXPhqiGzvvBkKrvFSWqqmxRyu9VyYBxE,DkVN7RKTNjSSER5oyurf3vddQU2ZneSCYwXvpErvTCFA,5D4q7HVZoLmGewzpFiKmVUxrVqa5jzhi6p1ghByqmm3fAZqT3pBQ6LYZJKNUoeEsharr6CyEn5h91Hk12nYfcrvh,2:6
"Sat, 16 Mar 2024 22:36:17 GMT",transfer_JUP,Successful,118.731541,JUP,154.47755310241132,DkVN7RKTNjSSER5oyurf3vddQU2ZneSCYwXvpErvTCFA,7iWnBRRhBCiNXXPhqiGzvvBkKrvFSWqqmxRyu9VyYBxE,5D4q7HVZoLmGewzpFiKmVUxrVqa5jzhi6p1ghByqmm3fAZqT3pBQ6LYZJKNUoeEsharr6CyEn5h91Hk12nYfcrvh,2:7
"Sat, 16 Mar 2024 22:36:17 GMT",transferChecked_JUP,Successful,118.731541,JUP,154.47755310241132,7iWnBRRhBCiNXXPhqiGzvvBkKrvFSWqqmxRyu9VyYBxE,HyhMt7jPKJ1LLXQTm5wjf5f4kWqAeTeKQZvMq8TtZnPV,5D4q7HVZoLmGewzpFiKmVUxrVqa5jzhi6p1ghByqmm3fAZqT3pBQ6LYZJKNUoeEsharr6CyEn5h91Hk12nYfcrvh,2:10
"Sat, 16 Mar 2024 22:36:17 GMT",transferChecked_USDC,Successful,152.939829,USDC,152.939829,HyhMt7jPKJ1LLXQTm5wjf5f4kWqAeTeKQZvMq8TtZnPV,7iWnBRRhBCiNXXPhqiGzvvBkKrvFSWqqmxRyu9VyYBxE,5D4q7HVZoLmGewzpFiKmVUxrVqa5jzhi6p1ghByqmm3fAZqT3pBQ6LYZJKNUoeEsharr6CyEn5h91Hk12nYfcrvh,2:11
"Sat, 16 Mar 2024 22:36:17 GMT",transferChecked_USDC,Successful,152.939829,USDC,152.939829,7iWnBRRhBCiNXXPhqiGzvvBkKrvFSWqqmxRyu9VyYBxE,9sanPaycTAq3HeiqUYGebsa3UVhawhAWHNwRzPdcfRn8,5D4q7HVZoLmGewzpFiKmVUxrVqa5jzhi6p1ghByqmm3fAZqT3pBQ6LYZJKNUoeEsharr6CyEn5h91Hk12nYfcrvh,2:14
